margin	qseqid	sseqid	staxid	pident	score	qcovs	kingdom	phylum	class	order	family	genus	species	species_score	genus_score	family_score	order_score	class_score	phylum_score	kingdom_score	alternatives	score.id	possible.misid
upper	seq51535	LC329089	2050694	90	100	97	Metazoa	Arthropoda	Insecta	Diptera	Chironomidae	Diamesa	Diamesa plumicornis	100	100	100	100	100	100	100	Diamesa plumicornis, 90	Diamesa	1
upper	seq51542	GBAN0036N06	77731	96.759	12.2278056951424	99	Metazoa	Annelida	Clitellata	Enchytraeida	Enchytraeidae	Fridericia	Fridericia tuberosa	100	100	100	100	100	100	100	Fridericia tuberosa, 97.222, Fridericia tuberosa, 96.759	Fridericia	0
upper	seq51572	GU682166	197169	99.539	15.8190336233402	100	Metazoa	Arthropoda	Insecta	Plecoptera	Nemouridae	Nemoura	Nemoura cinerea	100	100	100	100	100	100	100	Nemoura cinerea, 99.539, Nemoura cinerea, 99.537, Nemoura cinerea, 99.078	Nemoura cinerea	1
upper	seq51578	HQ551479	288842	99.539	100	100	Metazoa	Arthropoda	Insecta	Diptera	Chironomidae	Diplocladius	Diplocladius cultriger	100	100	100	100	100	100	100	Diplocladius cultriger, 99.539	Diplocladius cultriger	1
upper	seq51616	EWSJA641N08	1046382	90.909	50	99	Metazoa	Annelida	Clitellata	Haplotaxida	Eudrilidae	Polytoreutus	Polytoreutus finni	100	100	100	100	100	100	100	Polytoreutus finni, 90.909	Polytoreutus	1
upper	seq51638	LHM026N08	533304	92.056	92.8483569617706	99	Fungi	Ascomycota	Leotiomycetes	NA	NA	Leohumicola	Leohumicola levissima	94.882200980616	98.005337580018	98.005337580018	98.005337580018	100	100	100	Leohumicola levissima, 92.056, Leohumicola minima, 91.589, Leohumicola levissima, 91.589, Leohumicola verrucosa, 91.549, Articulospora tetracladia, 91.244, Leohumicola levissima, 91.121, Leohumicola verrucosa, 91.080, Articulospora tetracladia, 90.323	Leotiomycetes	1
upper	seq51654	JX905853	516496	99.078	1.05370496261047	100	Metazoa	Arthropoda	Insecta	Plecoptera	Nemouridae	Nemoura	Nemoura flexuosa	51.0537049626105	51.0537049626105	51.0537049626105	51.0537049626105	100	100	100	Nemoura flexuosa, 99.539, Agraylea multipunctata, 99.539, Nemoura flexuosa, 99.078	Insecta	0
upper	seq51666	MN013115	1988000	98.157	33.3333333333333	100	Metazoa	Arthropoda	Ostracoda	Podocopida	Candonidae	Candona	Candona neglecta	100	100	100	100	100	100	100	Candona neglecta, 98.157	Candona neglecta	0
upper	seq51682	MG548119	92525	98.618	0.000841329494051411	100	Metazoa	Arthropoda	Malacostraca	Isopoda	Asellidae	Asellus	Asellus aquaticus	99.9999819136654	99.9999819136654	99.9999819136654	99.9999819136654	99.9999819136654	100	100	Asellus aquaticus, 99.539, Asellus aquaticus, 99.078, Asellus aquaticus, 99.065, Asellus aquaticus, 98.618, Asellus aquaticus, 98.611, Asellus aquaticus, 98.598, Asellus aquaticus, 98.157, Agraylea multipunctata, 98.157, Asellus aquaticus, 98.148, Asellus aquaticus, 98.131, Asellus aquaticus, 97.696, Asellus aquaticus, 97.685, Asellus aquaticus, 97.664	Arthropoda	1
upper	seq51684	NC_023127	210010	95.392	50	100	Fungi	Ascomycota	Leotiomycetes	Helotiales	NA	Rhynchosporium	Rhynchosporium orthosporum	100	100	100	100	100	100	100	Rhynchosporium orthosporum, 95.392, Rhynchosporium secalis, 95.305, Rhynchosporium commune, 95.305, Rhynchosporium agropyri, 95.305	Rhynchosporium	1
